url,titulo,autor,fecha,descripcion,noticia
https://www.tvazteca.com/aztecanoticias/finanzas/notas/wall-street-sube-impulsado-por-microsoft-y-sector-energetico,Finanzas,Reuters,"septiembre 19, 2019",Los mercados continúan asimilando la baja en las tasas de interés de la FED.,"(Reuters) - Las acciones en Estados Unidos abrieron al alza el jueves, impulsadas por Microsoft Corp y el sector de energía, un día después de que la Reserva Federal anunció un esperado incremento en las tasas de interés.  El Promedio Industrial Dow Jones subía 38,97 puntos, o un 0.14 por ciento a 27.186,05 unidades. El S&P 500 ganaba 3,63 puntos, o un 0.12 por ciento, a 3.010,36 unidades y el Nasdaq Composite sumaba 16,20 puntos, o un 0.20 por ciento a 8.193,59 unidades."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/precios-del-crudo-marchan-con-ligeras-alzas-1,Finanzas,Notimex,"septiembre 19, 2019",El barril de petróleo tipo Brent se cotiza por encima en los 63 dólares.,"Londres.- Los precios del crudo marchaban este jueves al alza, con el barril de Brent por encima de la barrera psicológica de los 63 dólares, y el tipo West Texas, de referencia estadunidense, en los 58 dólares.   Así el barril de petróleo tipo Brent del Mar del Norte para entregas en noviembre se cotiza en 63.76 dólares, 0.25 por ciento más respecto al cierre previo, mientras que el crudo estadounidense West Texas Intermediate para entregas en octubre gana 0.19 por ciento y se cotiza en los 58.22 dólares por barril. Por su parte, la canasta de la Organización de Países Exportadores de Petróleo (OPEP) se cotizó el miércoles en 64.57 dólares, lo que representó una pérdida de 4.88 por ciento respecto al cierre previo, informó el cártel."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/pedidos-de-subsidio-por-desempleo-en-eua-suben-menos-de-lo-esperado,Finanzas,Reuters,"septiembre 19, 2019",Los datos de la semana previa fueron revisados para mostrar 2.000 pedidos más que los reportados anteriormente.,"Washington.- El número de estadounidenses que presentaron pedidos de subsidios por desempleo se incrementó menos de lo esperado la semana pasada, un dato que apunta a sólidas condiciones en el mercado laboral que deberían continuar apoyando un crecimiento económico moderado.  Los pedidos iniciales de ayuda por desempleo subieron en 2.000 a una tasa ajustada estacionalmente de 208.000 para la semana terminada en el 14 de septiembre, dijo el jueves el Departamento del Trabajo. Economistas habían anticipado que los pedidos se incrementarían a 213.000 durante la semana pasada. La Reserva Federal de Estados Unidos decidió el miércoles recortar sus tasas de interés referenciales en otros 25 puntos base, argumentando riesgos por la guerra comercial entre Washington y Pekín para la expansión más extensa de la economía estadounidense desde que se tiene registros."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/empleo-manufacturero-retoma-crecimiento-en-julio,Finanzas,Notimex,"septiembre 19, 2019",El personal ocupado en la industria creció 1.1 por ciento a tasa anual.,"Ciudad de México.- En julio de 2019, el personal ocupado total del sector manufacturero registró un aumento de 0.2 por ciento respecto al mes inmediato anterior, cuando disminuyó 0.1 por ciento, con datos ajustados por estacionalidad.  El Instituto Nacional de Estadística y Geografía (INEGI) informó que las horas trabajadas se incrementaron 0.7 por ciento y las remuneraciones medias reales pagadas subieron 0.4 por ciento en el séptimo mes de 2019 con relación al mes previo, con cifras desestacionalizadas. Con base en los resultados de la Encuesta Mensual de la Industria Manufacturera (EMIM), a tasa anual, el personal ocupado total creció 1.1 por ciento, con lo cual extiende el comportamiento positivo que mantiene desde marzo de 2010. El organismo reportó que las horas trabajadas se acrecentaron 1.4 por ciento y las remuneraciones medias reales 2.2 por ciento frente a julio de 2018. Con cifras originales, en julio de 2019 el personal ocupado en la industria manufacturera creció 1.1 por ciento, con alzas a tasa anual desde marzo de 2010, mientras que las horas trabajadas subieron 3.0 por ciento y las remuneraciones medias crecieron 2.9 por ciento respecto a igual mes del año pasado."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/deficit-de-cuenta-corriente-en-eua-cae-en-segundo-trimestre,Finanzas,Reuters,"septiembre 19, 2019",Economistas proyectaban una contracción de 127.800 millones de dólares.,"Washington.- El déficit de cuenta corriente de Estados Unidos se redujo con fuerza en el segundo trimestre gracias a un aumento en los ingresos por inversiones de cartera, según datos oficiales publicados el jueves.  El Departamento de Comercio informó que el déficit de cuenta corriente, que mide el flujo de bienes, servicios e inversiones hacia y desde el país, se redujo un 5.9 por ciento a 128.200 millones de dólares.Los datos del primer trimestre se revisaron para mostrar un déficit de 136.200 millones de dólares, en vez del saldo negativo de 130.400 millones de dólares que se informó originalmente."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/peso-mexicano-gana-tras-recorte-de-tasas-en-la-fed,Finanzas,Reuters,"septiembre 19, 2019",La moneda local registra una ganancia de 0.31 por ciento.,"Ciudad de México.-El peso mexicano se aprecia este jueves ante un dólar debilitado luego de que la Reserva Federal de Estados Unidos recortó las tasas de interés, tal y como se esperaba.  La moneda local cotizaba en 19.33 por dólar, una ganancia de 0.31 por ciento, o 6.05 centavos, frente a los 19.3970del precio de referencia de Reuters del miércoles.Hacia adelante es probable que el tipo de cambio vuelva a moverse en función de noticias sobre las negociaciones comerciales entre Estados Unidos y China, escribieron analistas de Banco Base en un reporte.Los inversionistas también están enfocados en las acciones de política monetaria que tomará el banco central local la próxima semana tras el recorte del costo del crédito por parte de la Fed, al igual que lo hizo el Banco Central Europeo la semana pasada."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/profeco-se-acerca-a-100-mil-descargas-de-app-para-precios-de-gasolinas,Finanzas,Notimex,"septiembre 17, 2019","En la semana del 9 al 15 de septiembre, se atendieron 378 quejas o denuncias.","Ciudad de México.- Al domingo 15 de septiembre, la Procuraduría Federal del Consumidor (Profeco) obtuvo 99 mil 240 descargas de la app Litro por Litro para comparar precios de combustibles.   Durante la conferencia de prensa matutina en Palacio Nacional, el titular de la Profeco, Ricardo Sheffield Padilla aseguró que esta semana se espera que la aplicación llegue a 100 mil descargas, gracias a la aceptación de los usuarios “que se vuelven los auténticos verificadores del mercado. Así, en la semana del 9 al 15 de septiembre, se atendieron 378 quejas o denuncias, con 293 visitas a estaciones de servicio, donde sólo dos se negaron a la revisión y se inmovilizaron 53 mangueras/bombas por no estar bien calibradas. En la semana de referencia, el precio más alto en la gasolina Regular se encontró en Tlalnepantla, Estado de México en 21.44 pesos, mientras que el más económico se tuvo en Coatzacoalcos, Veracruz en 17.59 pesos por litro. Para el caso de la gasolina Premium, el precio más elevado se encontró en León, Guanajuato en 21.99 pesos por litro y el más bajo en Coatzacoalcos, Veracruz en 18.99 pesos por litro en estaciones de servicio. En tanto, el Diésel se vendió hasta en 22.58 pesos por litro en Hermosillo, Sonora, quien registró el precio más alto, en contraste, Comacalco, Tabasco presentó el costo más económico en 19.59 pesos por litro. Por su parte, en la venta de Gas LP por tanque estacionario, Los Cabos, Baja California, tuvo el precio más elevado en 11.07 pesos por litro, mientras que el más bajo se registró en Santiago Mihuatlán, Puebla.En tanto, en la venta por cilindros, se encontró el precio más alto en Los Cabos, Baja California con 20.50 pesos por kilo, y el más económico en Pátzcuaro, Michoacán en 14.15 pesos por kilo. En la semana de referencia se visitaron 20 estaciones, de las cuales dos recibieron infracción y no se tuvieron negaciones a la verificación, detalló Sheffield Padilla y agregó que sólo se detectaron 14 cilindros en mal estado, no obstante, estos no representan riesgo para los consumidores."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/fiestas-patrias-dejaron-ingresos-por-18-700-mdp-concanaco,Finanzas,César Méndez ,"septiembre 16, 2019","En este “puente” la ocupación hotelera llegó a 80% en las playas, así como en ciudades coloniales y pueblos mágicos ","Ciudad de México.- La Confederación de Cámaras Nacionales de Comercio, Servicios y Turismo (Concanaco) estimó en 18 mil 700 millones de pesos los ingresos de comercios en el puente de fiestas patrias, casi 5% más que el año pasado.   En un comunicado detalló que la ocupación hotelera fue del 80%. Aunque en las playas la mayoría de los hoteles reportaron ocupación total.Las más visitadas, destacó, fueron las del Caribe en Quintana Roo, como Cancún, Playa del Carmen y Cozumel; así como Puerta Vallarta, Los Cabos y Acapulco, que fueron las elegidas para festejar la Independencia de México.Mientras que en ciudades coloniales y pueblos mágicos la ocupación hotelera fue del 80%."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/precios-del-petroleo-se-disparan-casi-20-tras-ataque-a-refinerias-de-arabia-saudita,Finanzas,Reuters ,"septiembre 16, 2019",Los futuros del Brent y del West Texas tuvieron una escalada superior al 14%,"SINGAPUR/LONDRES.- Los precios del petróleo subieron el lunes hasta casi 20% y el Brent marcó su mayor alza porcentual intradía en más de tres décadas, después de un ataque de yemeníes hutíes a las instalaciones de procesamiento de Arabia Saudita el fin de semana que paralizó la mitad de la producción del reino.  Los precios recortaron su escalada luego de que el presidente de Estados Unidos, Donald Trump, autorizó el uso de reservas de emergencia del país norteamericano para garantizar suministros estables de petróleo en el mundo.Los futuros del crudo Brent ganaron previamente hasta 19,5% a 71,95 dólares por barril. El referencial internacional cerró más tarde con una subida de 14,6%, a 69,02 dólares el barril, el mayor avance porcentual al menos desde 1988.En tanto, el petróleo WTI de Estados Unidos ascendió 14,7%, su mayor avance porcentual diario desde diciembre de 2008.Arabia Saudita es el mayor exportador de petróleo del mundo y el ataque a las instalaciones de crudo del productor estatal saudí Aramco en Abqaiq y Khurais recortó la producción en 5,7 millones de barriles por día. La empresa no ha dado un plazo para la reanudación de la producción al completo.Dos fuentes informadas sobre la operaciones de Aramco dijeron que la empresa aún no retorna a sus niveles normales de producción y que ello “podría tomar meses”.“Retirar del mercado más de 5% de los suministros mundiales de crudo en un solo ataque, un volumen que excede el crecimiento acumulativo de naciones fuera de la OPEP del 2014 a 2018, es sumamente preocupante”, dijeron analistas de UBS en una nota enviada a clientes.El presidente Trump anunció que había autorizado la liberación de crudo de las reservas estratégicas de Estados Unidos en caso de ser necesario, por un volumen que podrá determinarse más adelante. Además, afirmó que Washington tenía “las armas cargadas y listas” para actuar como potencial respuesta al ataque.Los grandes importadores de petróleo saudí, como India, China e Indonesia, serán los más vulnerables a la interrupción de los suministros. El lunes, Emiratos Árabes Unidos y fuentes de la OPEP dijeron que el bloque está evaluando el impacto en el mercado de los ataques en Arabia Saudita, pero que considera que es muy pronto para que sus miembros tomen acciones, como un aumento de producción o una reunión de emergencia.Las exportaciones de petróleo saudí continuarán normalmente esta semana, ya que el reino utilizará sus enormes existencias para alimentar las refinerías, según dijo a Reuters una fuente de la industria."
https://www.tvazteca.com/aztecanoticias/finanzas/notas/precios-del-crudo-marchan-a-la-baja-6,Finanzas,Notimex,"septiembre 17, 2019",El barril de petróleo tipo Brent se cotiza por encima en los 68 dólares.,"Londres.- Los precios del crudo marchaban este martes a la baja, con el barril de Brent que roza la barrera psicológica de los 69 dólares, y el tipo West Texas, de referencia estadunidense, en los 62 dólares.   Los mercados energéticos rompieron este martes sus alzas tras el anuncio de Estados Unidos que autorizó la liberación de sus reservas estratégicas, con lo que el Brent frenó su violenta escalada que llegó a ser de casi un 20 por ciento hasta alcanzar los 71.95 dólares, el mayor salto intradiario en casi dos décadas, desde la Guerra del Golfo. El incremento se presentó después del ataque a las refinerías de crudo de Aramco en Arabia Saudí que forzó el cierre de cerca del 5.0 por ciento de la oferta mundial. Arabia Saudí es el mayor exportador de petróleo del mundo y el ataque del pasado sábado a las instalaciones de Aramco en Abqaiq y Khurais redujo la producción en 5.7 millones de barriles por día. Así el barril de petróleo tipo Brent del Mar del Norte para entregas en noviembre se cotiza en 68.90 dólares, 0.17 por ciento menos respecto al cierre previo, mientras que el crudo estadounidense West Texas Intermediate para entregas en octubre cae 0.79 por ciento y se cotiza en los 62.40 dólares por barril. Por su parte, la canasta de la Organización de Países Exportadores de Petróleo (OPEP) se cotizó el lunes en 66.43 dólares, lo que representó una ganancia de 10.68 por ciento respecto al cierre previo, informó el cártel."
